/roles/[roleId]                                              | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/roles/[roleId]/tab-permissions                              | auth=0 | cap=10 | admin=0 | ws_filter=0 | 
/roles                                                       | auth=0 | cap=0 | admin=0 | ws_filter=5 | 
/settings/env                                                | auth=2 | cap=0 | admin=2 | ws_filter=0 | 
/storage/upload                                              | auth=3 | cap=0 | admin=3 | ws_filter=5 | 
/suppliers                                                   | auth=3 | cap=0 | admin=3 | ws_filter=2 | 
/tasks/create                                                | auth=0 | cap=0 | admin=0 | ws_filter=1 | 
/tenants/create                                              | auth=2 | cap=2 | admin=2 | ws_filter=19 | 
/todo-columns                                                | auth=0 | cap=0 | admin=0 | ws_filter=3 | 
/tours/by-code/[code]                                        | auth=0 | cap=0 | admin=2 | ws_filter=1 | 
/transport/[id]/confirm                                      | auth=0 | cap=0 | admin=0 | ws_filter=0 | 
/transport/send-booking                                      | auth=0 | cap=0 | admin=2 | ws_filter=0 | 
/users/[userId]/role                                         | auth=2 | cap=0 | admin=0 | ws_filter=0 | 
/workspaces/[id]                                             | auth=4 | cap=4 | admin=6 | ws_filter=8 | 
/workspaces                                                  | auth=2 | cap=8 | admin=3 | ws_filter=9 | 
